,linkID,link,title,section,author,frontPageDate,postedDate
0,0,https://www.nairaland.com/5803997/experience-how-couples-sustain-love,"""My Experience: How Can Couples Sustain Their Love Even In Old Age?""",Family,smiliyB,2020-06-05 13:54:00,2020-04-19 18:56:00
1,1,https://www.nairaland.com/5873737/nigeria-passport-1982-when-1164.84,Nigerian Passport In 1982 When $1164.84 Was N800 (Photo),Travel,NaijadrivaCars,2020-06-05 13:48:00,2020-05-21 21:09:00
2,2,https://www.nairaland.com/5904593/marriage-month-shawwal,Marriage In The Month Of Shawwal,Religion,Lukgaf,2020-06-05 13:44:00,2020-06-05 05:44:00
3,3,https://www.nairaland.com/5904582/completed-six-fast-shawwal,Have You Completed The Six Fast Of Shawwal?,Religion,Lukgaf,2020-06-05 13:43:00,2020-06-05 05:29:00
4,4,https://www.nairaland.com/5905388/twitter-removes-trump-campaign-tribute,Twitter Removes Trump Campaign Tribute To George Floyd Claiming Copyright,Politics,myboy2111,2020-06-05 13:29:00,2020-06-05 12:38:00
5,5,https://www.nairaland.com/5903743/tackle-poverty-not-almajirai-okorocha,"Tackle Poverty, Not Almajirai - Okorocha Tells Northern Governors",Politics,iwaeda,2020-06-05 13:21:00,2020-06-04 18:38:00
6,6,https://www.nairaland.com/5905287/18-year-old-girl-raped-lagos-dispatcher,"18-Year-Old Girl Raped By Dispatcher, Police Mock Her, Father Disowns Her",Crime,fergie001,2020-06-05 12:52:00,2020-06-05 11:53:00
7,7,https://www.nairaland.com/5905125/trailer-fire-river-niger-bridge,"Trailer On Fire On River Niger Bridge, Onitsha (Photos)",Travel,Henreez,2020-06-05 12:32:00,2020-06-05 10:35:00
8,8,https://www.nairaland.com/5905156/covid-19-africa-records-168464-cases,"COVID-19: Africa Records 168,464 Cases, 73,000 Recoveries &amp 4,700 Deaths",Health,ghettokid1,2020-06-05 12:19:00,2020-06-05 10:52:00
9,9,https://www.nairaland.com/5904938/270-indian-workers-dangote-company,270 Indian Workers At Dangote Company Depart Nigeria,Career,dre11,2020-06-05 12:13:00,2020-06-05 09:02:00
10,10,https://www.nairaland.com/5904927/ighalo-set-super-eagles-return,Ighalo Set For Super Eagles’ Return,Sports,robosky02,2020-06-05 12:05:00,2020-06-05 08:55:00
11,11,https://www.nairaland.com/5904641/george-floyds-memorial-service-celebrities,"Celebrities, Politicians, At George Floyd's Memorial Service In US (Pics)",Politics,Explorers,2020-06-05 11:42:00,2020-06-05 06:36:00
12,12,https://www.nairaland.com/5904266/350-new-covid-19-cases-206,"350 New COVID-19 Cases, 206 Discharged And 8 Deaths On June 4 - (1728 Tested)",Health,References,2020-06-05 11:37:00,2020-06-04 23:40:00
13,13,https://www.nairaland.com/5904823/cristiano-ronaldo-football-1st-billionaire,Cristiano Ronaldo Officially Becomes Football's 1st Billionaire - Forbes,Sports,WriterNig,2020-06-05 11:32:00,2020-06-05 08:14:00
14,14,https://www.nairaland.com/5904113/george-floyd-kanye-west-donates,"George Floyd: Kanye West Donates $2 Million, Pays College Tuition For Daughter",Celebrities,Macsjebs,2020-06-05 11:14:00,2020-06-04 21:53:00
15,15,https://www.nairaland.com/5903131/sending-money-back-home-project,Nigerian Woman In Philadelphia Sent Money Home For Building Project. See What She Got,Properties,Josnac,2020-06-05 10:51:00,2020-06-04 14:04:00
16,16,https://www.nairaland.com/5904690/66-year-old-man-rapes-minors-yobe,"66-Year-Old Man Who Lures &amp Rapes Children With Chocolate, Arrested (Pics)",Crime,laidelaitan,2020-06-05 10:36:00,2020-06-05 07:09:00
17,17,https://www.nairaland.com/5904042/lawan-leads-senators-orji-kalus,Lawan Leads Senators To Orji Kalu’s Residence. Checkout Their Style Of Greeting (Pix),Politics,Showbby28,2020-06-05 10:19:00,2020-06-04 21:21:00
18,18,https://www.nairaland.com/5904984/ighalo-man-united-dream-bigger,"""My Man United Dream Bigger Than Shanghai Shenhus Megabucks"" - Ighalo",Sports,robosky02,2020-06-05 10:10:00,2020-06-05 09:24:00
19,19,https://www.nairaland.com/5904943/covid-19-anti-body-test-kits-failed,"COVID-19: Anti-Body Test Kits Failed Validation — Health Minister, Ehanire",Health,jarawa,2020-06-05 09:54:00,2020-06-05 09:04:00
20,20,https://www.nairaland.com/5904885/governors-violating-interstate-travel-ban,Governors Violating Interstate Travel Ban,Politics,agwom,2020-06-05 09:38:00,2020-06-05 08:40:00
21,21,https://www.nairaland.com/5904219/huge-landslide-norway-washes-houses,"Huge Landslide In Norway Washes Houses Into Sea (Photos, Video)",Politics,Macsjebs,2020-06-05 09:34:00,2020-06-04 23:04:00
22,22,https://www.nairaland.com/5902965/innoson-vehicles-used-frsc-police,"Innoson Vehicles Used By FRSC, Police, Army, Nigeria Fire Fighters (Photos)",Car Talk,MinorityOpinion,2020-06-05 09:07:00,2020-06-04 12:54:00
23,23,https://www.nairaland.com/5903269/why-broke-wema-alat-atm,"""Why I Broke My WEMA Alat ATM Card And Stopped Going Cashless""",Business,Shoodboi,2020-06-05 09:06:00,2020-06-04 15:03:00
24,24,https://www.nairaland.com/5903724/thunderbolt-kills-man-benin-graphics,Thunderbolt Kills Man In Benin (Graphic Photo),Health,9jaBlogger,2020-06-05 08:46:00,2020-06-04 18:28:00
25,25,https://www.nairaland.com/5904631/why-oshiomhole-wants-direct-primary,"""Why Oshiomhole Wants Direct Primary Election"" – Shaibu, Obaseki’s Deputy",Politics,Crownbefitsme,2020-06-05 08:42:00,2020-06-05 06:28:00
26,26,https://www.nairaland.com/5904604/efcc-re-arraign-ladoja-alleged-n4.7bn,EFCC To Re-Arraign Ladoja For N4.7 Billion Fraud,Politics,kahal29,2020-06-05 08:20:00,2020-06-05 05:57:00
27,27,https://www.nairaland.com/5904688/nigeria-may-lose-24-local,Nigeria May Lose 24 Local Councils To A New UN State By July 10,Politics,ikorodureporta,2020-06-05 08:10:00,2020-06-05 07:09:00
28,28,https://www.nairaland.com/5904214/edo-2020-idahosa-thanks-buhari,"Edo 2020: Idahosa Thanks Buhari, Says Oshiomhole Can’t Be Trusted",Politics,nairavsdollars,2020-06-05 07:51:00,2020-06-04 22:59:00
29,29,https://www.nairaland.com/5904633/obaseki-certificate-forgery-allegations-against,"""Certificate Forgery Allegations Against Me Baseless, Will Fail In Court"" - Obaseki",Politics,nairavsdollars,2020-06-05 07:36:00,2020-06-05 06:29:00
30,30,https://www.nairaland.com/5904716/no-fresh-probe-adesina-afdb,No Fresh Probe Of Adesina - AfDB Board Rules,Politics,divinehand2003,2020-06-05 07:27:00,2020-06-05 07:24:00
